"wkt","typ"
"LINESTRING (16.6475193255852 49.1775568364096,16.6474172972813 49.1776712376349)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6293925145244 49.1879039938474,16.6297963164263 49.188034642466)","_stezka_C8_C9_C10"
"LINESTRING (16.6297295398053 49.1880808288935,16.629633045977 49.1881605305276,16.6295460805628 49.1882467042928,16.6295062268562 49.1882972816912,16.6294653954135 49.1883601911982,16.62943871148 49.1884105798347,16.6294207827305 49.1884548699368,16.6293969398724 49.188525525236,16.6293715568905 49.1886318974341,16.6293290029245 49.1888075018542,16.6292940763182 49.1888568773069,16.6292935883661 49.1889157486281,16.6292849484709 49.1889714601966)","ostatni_pomocne"
"LINESTRING (16.6370075484815 49.1847487958063,16.6369029105809 49.1846657800161,16.6368498991567 49.1846381228992,16.6368164295288 49.184626791746,16.6366429914488 49.1845992126932,16.6351948827146 49.1843997959023,16.6339895144022 49.18423266542,16.6339600879047 49.1842326534774,16.6339345529106 49.1842377391089,16.6338983393673 49.1842534380762,16.6338636594781 49.1842757904304,16.6338274028549 49.1843173220683,16.6332923092723 49.1849732951429,16.6329471938526 49.1853846758164,16.6328351761546 49.1855098157637,16.6321209225953 49.1862867842628,16.631900947913 49.1865027299878,16.6317820163807 49.1866107597023,16.6314978719878 49.186849384361,16.6313126048678 49.1869852794295,16.6309863390784 49.1872163623665,16.6308700025047 49.1872958108742,16.6305199235268 49.1875342525205,16.6302869115964 49.1877127600091,16.6301815581453 49.1877733489182,16.6299234519378 49.1879478432625,16.6297963164263 49.188034642466)","_Zona30_pesi_obytna"
"LINESTRING (16.6297963164263 49.188034642466,16.6297337018133 49.1880773911651,16.6297295398053 49.1880808288935)","ostatni_pomocne"
"LINESTRING (16.6285323990004 49.1888410794525,16.6285936480096 49.188925069926,16.6292180420396 49.1891493565052)","_stezka_C8_C9_C10"
"LINESTRING (16.6292475528715 49.1889527196089,16.6292849484709 49.1889714601966,16.6293272978654 49.1889711708751,16.629430388803 49.1889646554567,16.6295154005561 49.1889696021309,16.6312646203169 49.1895445427886,16.6314640849636 49.1896211594178,16.6315676782879 49.1896587641153,16.6316727016832 49.1896921953704,16.6319896679227 49.189798196171,16.6322451417422 49.1898645513923,16.6324928162336 49.1899266391848,16.6328378517925 49.18998259927,16.6331083759828 49.1900091418828,16.6331697040039 49.1900153321715,16.6332983954027 49.1900222448659,16.6335786717526 49.1899754797528,16.633859598519 49.18990428684,16.6339767865856 49.1898809803097,16.6340745239591 49.1898575938607,16.6344771592064 49.1897709783239)","ostatni_pomocne"
"LINESTRING (16.6265961780435 49.187951064732,16.6267068973564 49.1879894735362,16.6267830957727 49.1880152480011,16.626958947084 49.1880709155048,16.627254024017 49.1881613742966,16.6274721024025 49.1882309228049,16.6276654536321 49.1883008318216,16.6279175843068 49.1883980947397,16.6281684893746 49.1885093304364,16.628375178443 49.1886090040136,16.6284898998074 49.1886614023233,16.6286178325472 49.1887182493472,16.6286405674983 49.1887265931928)","ostatni_pomocne"
"LINESTRING (16.6286405674983 49.1887265931928,16.6287637372746 49.1887717970161,16.6292475528715 49.1889527196089)","_stezka_C8_C9_C10"
"LINESTRING (16.6317408619195 49.1771723957413,16.629404613772 49.1879061631788,16.6292475528715 49.1889527196089)","_stezka_C8_C9_C10"
"LINESTRING (16.6328485746204 49.1214686840823,16.6334467680524 49.1188667470697,16.6336386370114 49.1180349847975,16.6336795477061 49.1178706401446,16.6337015038704 49.1177918004584,16.6337254661069 49.1177631129744,16.6337697907933 49.1177501161836,16.6338488052931 49.1177578566642,16.6339492103842 49.117780016116,16.6340564991522 49.1178026624114,16.6341867008108 49.1178204764497)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6332196611309 49.1231902567072,16.633211139724 49.123072649635,16.6332029763832 49.1229767902192,16.6331901760892 49.1229160999905,16.6331731613565 49.1228498804681,16.6331556948842 49.122793344008,16.6331233178599 49.1227166963892,16.6330685949649 49.1226201589282,16.6329693500801 49.1224550823084,16.6329180536368 49.1223688758046,16.6328872165674 49.1223001837624,16.6328492685653 49.1222089430194,16.6328273122747 49.1221416265029,16.6328133100561 49.1220778619109,16.6327963004979 49.1219873550605,16.6327876045357 49.1219224712192,16.6327843009052 49.1218108883143,16.6327894716693 49.1217447435181,16.6328002184407 49.1216689045026,16.6328485746204 49.1214686840823)","_ucelova_polni_lesni cesta"
"LINESTRING (16.677219190397 49.1802623614488,16.6779418994925 49.1798605900904,16.6781830525789 49.179758390839,16.6784821254105 49.1797268407908,16.6790087487817 49.1797743527983,16.6795982057294 49.1798297806295,16.6798385612752 49.1799126901678)","_Zona30_pesi_obytna"
"LINESTRING (16.6474172972813 49.1776712376349,16.6473952524285 49.1777007012312,16.6473799852746 49.1777319549956)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6479714065657 49.1774701236063,16.6479180729302 49.1774558187309,16.6478618387005 49.1774475707481,16.6478042918243 49.1774456125653,16.6477470573144 49.1774499994776,16.6476917513636 49.1774606076071,16.6476399357077 49.1774771374006,16.647593073527 49.1774991220878,16.6475524881299 49.177525940862,16.6475193255852 49.1775568364096)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6574180021399 49.1770664683509,16.664894801096 49.1730238108872)","_ucelova_polni_lesni cesta"
"LINESTRING (16.669542640956 49.1649433385793,16.6695840548904 49.1648581450338,16.6696334481237 49.1647614982524,16.669668604788 49.1646958888474,16.6697365327453 49.1646165656474,16.6697917464296 49.1645613042101,16.669949950771 49.1644432427609,16.6700828150004 49.1643689381019,16.6701922070063 49.1643160449956,16.6703047224957 49.1642713849844,16.6704163831504 49.1642374144641,16.6705797780868 49.1641969200626,16.6707270482806 49.1641693634339,16.6709125484653 49.1641486004995,16.6711454546422 49.1641368401685,16.671415800752 49.1641367037315)","ostatni_pomocne"
"LINESTRING (16.6711133917394 49.1608150964964,16.671286204627 49.160843060312,16.6714944205082 49.1608819438326,16.6718350889093 49.1609637616913,16.6721154413169 49.1610499354698,16.6724202428443 49.1611761362694,16.6727796753705 49.1613327597714,16.6730131801342 49.1614429988655,16.6732643608149 49.1615763708638,16.6734625080678 49.1617060124053,16.6736511868459 49.161827951479,16.6738429789015 49.1619673086069,16.6740213434711 49.1621158843903,16.6741978134288 49.1622760535017,16.6744111056767 49.1625099548859,16.674581344769 49.1627009568163,16.6747023814376 49.1628720809664,16.6747754428119 49.1629647793017,16.6748864510842 49.1632337039833,16.6749891691186 49.1634950094054,16.6750461799332 49.1637132293955,16.675081905981 49.1639012218353,16.6750457181802 49.1639749022205,16.6750723661919 49.1641327436517,16.6751357838037 49.1641932963175,16.6752041439645 49.1645663273127,16.6752548440154 49.1647739399942,16.6753230526571 49.1650093645809,16.6754037663877 49.1652229962895,16.6755040536161 49.1654481673349,16.675652428627 49.1657365261525,16.6758582828762 49.1660598063852,16.6763005595934 49.1666051220859,16.6764374823604 49.1667703238639,16.6764514034344 49.1667945607576,16.6764613566185 49.1668230140215,16.6764697836598 49.166853509928,16.6766105171798 49.1670209337646,16.6766509912723 49.167035896627,16.6766934644564 49.1670568634302,16.676726381407 49.1670834128032,16.6769259644661 49.1670130085976)","ostatni_pomocne"
"LINESTRING (16.6699744506918 49.1641195638336,16.6701822960884 49.1635677527932,16.6704145320621 49.162924253826,16.6704940637596 49.1625291775418,16.6705757842221 49.1621280008705,16.6706184467574 49.1619109261235,16.6706642491729 49.161568984548,16.6707482977779 49.1608802699169,16.6707321500952 49.1601927332211,16.6706402792518 49.1596520039406,16.6706216834853 49.1594628796093)","_stezka_C8_C9_C10"
"LINESTRING (16.6706216834853 49.1594628796093,16.6706470760828 49.1585422595145)","_stezka_C8_C9_C10"
"LINESTRING (16.6752251564995 49.1640401772428,16.6752032485772 49.1639201124144,16.6751845499543 49.1638148192064,16.6751587181738 49.1636957339585,16.6751278768521 49.1635817690135,16.6750648420774 49.1634022151742,16.6749788516734 49.1631753122441,16.6749179919959 49.163031678233,16.6748547858213 49.1628896382018,16.6747386331659 49.162703221807,16.6746253193291 49.1625431949447,16.6743835358308 49.1622611646597,16.6741698847625 49.1620440464789,16.6739714875634 49.1618721718936,16.6738203319249 49.161754044981,16.6735856106399 49.1615929055148,16.6733405351221 49.1614404187805,16.6731153033165 49.1613123900653,16.6729290019116 49.1612160254556,16.6727518117454 49.161133200984,16.6726211706431 49.1610755406708,16.6722548365876 49.1609246854136,16.672043766883 49.1608340039767,16.6718605401107 49.1607480170058,16.6716854800266 49.1606594770094,16.6715930373281 49.1606088023707,16.6714101119708 49.1604954728544,16.6712807017557 49.1604011528857,16.6711846043434 49.1603181670282,16.6711123485531 49.1602497580522,16.6709942297503 49.1601046333745,16.6709055742575 49.1599615814077,16.670842717686 49.1598320714045,16.6708071274017 49.1597435696078,16.670782841266 49.159640618037,16.6707641811524 49.1595032722469,16.6707627511574 49.1592897406474,16.6707641314269 49.1592528941444)","ostatni_pomocne"
"LINESTRING (16.6701282693351 49.164121393836,16.6703280932179 49.1635908748225,16.6705622443782 49.1629420637487,16.6706427533139 49.1625421270881,16.6707245031238 49.1621408004409,16.6707675982091 49.1619215214471,16.6708137167219 49.1615772122913,16.6708983800481 49.1608834432933,16.6708820096792 49.1601865147666,16.6707897297641 49.159643387473,16.6707713582338 49.1594565494128)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6707713582338 49.1594565494128,16.6707641314269 49.1592528941444)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6699282347637 49.164119013956,16.6717367636819 49.1641405180272,16.6722563451145 49.16414540215,16.6727148593889 49.164150093346,16.6733688885728 49.164151137923,16.6733742421337 49.1641509769633)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6733742421337 49.1641509769633,16.6740230258458 49.1641314688401,16.6745582288118 49.1640991332148,16.6749372215291 49.1640706656592,16.6752268781448 49.1640496125739)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6877417765067 49.1768846970306,16.6876297166909 49.1767392242717,16.687265669456 49.1763110103671,16.6871560780369 49.1761976043924,16.6866169488577 49.1757237433033,16.6863433182138 49.1755005316636,16.6862394630922 49.1754222843035,16.6861310825129 49.1753492303651,16.6859994763407 49.1752704124385,16.6858442869569 49.175179174635,16.6856956884318 49.1750902076536,16.6855774319685 49.1750245543773,16.685478700569 49.1749631995655,16.685255128077 49.1748342945863,16.6849179225177 49.1746373338077,16.6847594666983 49.1745435398667,16.6845593924389 49.1744271002611,16.6843729723819 49.1743075749843,16.684234006239 49.1742127374948,16.6838362267607 49.1739269829565,16.6830752960288 49.1733654786371,16.6826811935993 49.1730798051465,16.6822815114624 49.1727672151665,16.6817097469701 49.1722747453759,16.681219035167 49.1718617326295,16.6808699799246 49.1715619135554,16.6803783894735 49.1711145746009,16.6799071588643 49.1706123439557,16.6796950155407 49.170388768522,16.6789219080176 49.169498270309,16.6783707177589 49.1688594949135,16.677855337695 49.1682459667269,16.6774773967677 49.1678136345233,16.6764179355916 49.1665744791814,16.6762677549232 49.1663919277005,16.6761121667701 49.166202350565,16.6759306122357 49.1659601311653,16.6758410682109 49.1658260129906,16.675777430941 49.1657230332628,16.6756545581282 49.1654974473995,16.6755787400758 49.1653486580589,16.6754723953477 49.165083971567,16.6754179857433 49.164913624316,16.6753743725006 49.1647538084963,16.6753351060311 49.1645710042756)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6753351060311 49.1645710042756,16.675329018289 49.1645426627984,16.6752444327932 49.164145819131,16.6752251564995 49.1640401772428)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6733688885728 49.164151137923,16.6738993953723 49.164153824486,16.6741836817361 49.1642005574334,16.6747700331478 49.1643981254387,16.67533248071 49.1645726877353)","ostatni_pomocne"
"LINESTRING (16.6707641314269 49.1592528941444,16.6707714262493 49.1590581568399,16.6707822729939 49.1588060081599,16.670788706483 49.1586153677148)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6697911836551 49.1549660504473,16.6697422172044 49.1547791678474,16.6696657544102 49.1544669303666,16.6696268743836 49.1542491991531,16.6696030620357 49.1540741591473,16.6695964575491 49.1539214387312,16.6696043677233 49.1537892847866,16.6696168991821 49.1536926370831,16.6696462607765 49.153518602857,16.6696808225536 49.1533783565616,16.6697221954837 49.1532192400399,16.6697680009001 49.1530685466302,16.6698170401857 49.152922673876,16.6698455077061 49.1528378974215,16.66986454125 49.1527852926701,16.6699134732221 49.1526464485582,16.6699681093067 49.1524982333579,16.6700313975989 49.1523299093313,16.6700885160363 49.1521810870075,16.6701779300957 49.1519477575973,16.670258228241 49.1517337225623,16.670310844317 49.1515759835712,16.67036607867 49.1513730844364,16.6704076223251 49.1511336499745,16.6704251842853 49.1509679715718,16.6704356741272 49.1508127406912,16.6704388977506 49.150691006767,16.6704416880537 49.150528197855,16.6704186829333 49.1502607669649,16.6703942489585 49.1500858787866,16.6703562697037 49.1498881469549,16.6703025895298 49.1497135459441,16.6702716366266 49.1496363636936,16.6702169524479 49.1495230143956,16.6701563971484 49.149426891235,16.6700944207442 49.1493481119331,16.670006132928 49.1492594185321,16.6699612414036 49.1492187327342,16.669896814068 49.149177258359,16.6698449873657 49.1491480068743,16.6697821468836 49.1491150484612,16.6696364713205 49.1490311110013,16.6694417601051 49.1489081500983,16.6692214852321 49.1487429312714,16.6690099892417 49.1485623029059,16.6688050255126 49.1483909291143,16.6686595439734 49.1482602911291,16.6685167237869 49.1481229506108,16.6683637630907 49.1479542591439,16.6681128658615 49.1476502619551)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6661261794091 49.1873920270648,16.6664937391223 49.1870965701604,16.6672876234881 49.1864805451391,16.6673682033166 49.1864248999146,16.6674603010521 49.1863855655953,16.6676687766966 49.1863351281747,16.6682878326954 49.1862002442127,16.6692323505089 49.1859904216645,16.6698580466042 49.1858277512648,16.6703054543334 49.1857269431208,16.6708440005618 49.185621519471,16.6717176071915 49.1854755832554,16.6720333555169 49.1854278585275,16.6726096968274 49.1853932870051,16.6731467710421 49.185393153614,16.6732843314167 49.1854035127679,16.6735885862986 49.1854381103294,16.6740581557644 49.1855275635672,16.6742469132489 49.1855473086801,16.6744789386257 49.1855441850608,16.6746837020357 49.1855178620042,16.6748206293084 49.185474741384,16.6749211266225 49.185378166416,16.6750747149715 49.1852159221274,16.6752362183723 49.1851347386766,16.6755159975114 49.1850812994957,16.675736110226 49.1850560534665,16.6759726782109 49.1850504636515,16.676197287061 49.1850426524794,16.6763167241621 49.1850324126984)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6650523601201 49.1483171859781,16.6650359434754 49.1483009801085,16.6649936053439 49.1482737195304)","_Zona30_pesi_obytna"
"LINESTRING (16.6649936053439 49.1482737195304,16.6649534622676 49.1482478722572,16.6649433695049 49.1482276163344,16.6649339308491 49.1482015429282,16.6648904925126 49.1480409498679,16.6647463136677 49.1475601485872,16.664709002735 49.1474531497384,16.6646203909173 49.1471717131178,16.6644839716737 49.1469748625739,16.6642692336314 49.1466849333018,16.6641046729673 49.1464689002831,16.6638432095884 49.1461532018614,16.6637072673397 49.1459935194265,16.6635892909646 49.1458405749194,16.6634487482914 49.1456653227468,16.6632694520458 49.1454629089386,16.6630151671084 49.1451944265862,16.662962549947 49.1451336479302,16.6629111663915 49.1450653335074,16.662873042943 49.1450106575718)","ostatni_pomocne"
"LINESTRING (16.6578322596811 49.1852231963451,16.6575971221885 49.1847301910177,16.657118166036 49.1837240882446,16.6564650741222 49.1823484283457,16.6559984793165 49.1813694376569,16.6558921330953 49.1811369416582,16.655861810426 49.1810256371346,16.6558311718571 49.1808961287501,16.6558108486811 49.1807462091859,16.6558124175181 49.1806158615766,16.6558431156923 49.1803413542154,16.6558817584809 49.1801899851703,16.6559874250849 49.1799414225274,16.6560871796491 49.1797643249815,16.6561538827425 49.1796677075409,16.6562718520302 49.1795304291977,16.6563892687106 49.1794105235589,16.6564855335781 49.1793250514127,16.6565869111782 49.1792462114487,16.6566520071928 49.1791961611208,16.657863875007 49.1783779392275,16.6592266516452 49.1774489786401,16.6606378416673 49.176453560785,16.6620255807824 49.1754521563566,16.6626365810055 49.1749996243534,16.6632232090051 49.1745568796311,16.6641048961253 49.1738786707019,16.6644618857163 49.1735898372815,16.6647930483507 49.1732958359853,16.6650929713958 49.1729926143132,16.6652876562206 49.1727631484564,16.665584461147 49.1723944018707,16.6657309516242 49.1721861008096,16.6659148732857 49.1719012877484,16.6660963683255 49.1716199138803,16.6663777528298 49.1711261695084,16.6668626647771 49.1702578388764,16.667226696493 49.1695914787267,16.6680764519884 49.1680223201345,16.6682982983076 49.1675870986662,16.6686743621234 49.1668728101337,16.6690541528861 49.1661474456331,16.6695262138746 49.1652509779137,16.6701282693351 49.164121393836)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.664894801096 49.1730238108872,16.665166867428 49.1727031405809,16.665461010142 49.1723377024889,16.6656048125688 49.1721332243408,16.6657877952734 49.1718498663278,16.6659680294303 49.1715704482495,16.6662481177593 49.1710789803445,16.6667326779829 49.1702112833282,16.6670964621648 49.1695453792701,16.6679456811472 49.1679772185285,16.6681673186676 49.1675424087902,16.6685435850958 49.1668277387759,16.6689233792362 49.1661023712422,16.6693955783186 49.1652056454736,16.6699744506918 49.1641195638336)","_stezka_C8_C9_C10"
"LINESTRING (16.646731325747 49.1789103529723,16.6467811874095 49.1789374521943,16.6468701278795 49.1790422444595,16.6469470166128 49.1791372303032,16.6469795369268 49.1792208191821,16.6470035886223 49.1793175895059,16.6471057397736 49.1794763617478,16.6473776498785 49.1797917849882,16.647492779762 49.1799931530123,16.6475225972602 49.1802084829864,16.6475234878555 49.1804848107029,16.6475312624667 49.1813403333889,16.647548800628 49.182078735858,16.6474796212582 49.182871648963,16.64749248492 49.1830558141525,16.6476587435325 49.1836372926829,16.6479179753634 49.1846448912127,16.6483033637677 49.1861422635276,16.6483209623186 49.1861855297459,16.6483487668458 49.1862274488182,16.6483797341297 49.1862565010703,16.648422387212 49.186291199896,16.6484750290606 49.1863162689718,16.6485514234787 49.1863375013815,16.6486810769206 49.1863480214403,16.6488706498116 49.1863200521439,16.6492471581144 49.1862673713886,16.6493549031386 49.1862704900251,16.6496816222689 49.1863162601639,16.6498305097668 49.1863088447408,16.6511364503004 49.1861132777329,16.651254591008 49.1861074823096,16.651341197871 49.1861177207781,16.6514074265177 49.1861368567877,16.6514636112581 49.1861659632831,16.6515405426048 49.186222367191,16.6515882029587 49.1862649959288,16.6516377848971 49.1863215387908,16.6516927631141 49.1863836289963,16.6517138952175 49.1864181873881,16.651745594301 49.1864846489134)","ostatni_pomocne"
"LINESTRING (16.6404098709979 49.1770674834214,16.6404890189117 49.1770802299819,16.6405921927576 49.1770902694811,16.6408373235505 49.177085355941,16.640890498629 49.177087904107,16.641433270641 49.1771582549273,16.6420444468235 49.1772472101946,16.6423332984994 49.1772848214941,16.6433462306089 49.1774165928043,16.643684100981 49.1774612768412,16.6440282328593 49.1775062294548,16.6440699896172 49.1775095204971,16.6441110628179 49.1775089740995,16.6441591038679 49.1775059913581,16.6442100413208 49.1774997682608,16.6442737033253 49.1774832476975,16.6443884739311 49.1774546599893,16.6444412734727 49.1774514961974,16.644487373028 49.1774523377526,16.6444956317824 49.1774540400338,16.6445038986782 49.1774572930109,16.6445276168569 49.1774696452101,16.6445472484127 49.1774892874226,16.6446184422839 49.177599719179,16.644766292992 49.1778225180673,16.6448084960299 49.1778887063407,16.6448939506185 49.1780723107917,16.6450094637088 49.178327274659,16.6450135411008 49.1783456470839,16.6450121762054 49.1783603630482,16.6450000805047 49.1783860339191,16.6449873139778 49.1784157911144,16.6449971457964 49.1784423201502,16.6450227280114 49.1784689270441,16.645110620203 49.1785288657729,16.6452203472351 49.178615835808,16.6453872492531 49.1787578212355,16.6455264685884 49.1788795963734,16.6456120745027 49.1789214608355,16.6457005378581 49.1789389283365)","ostatni_pomocne"
"LINESTRING (16.6457005378581 49.1789389283365,16.6457179355609 49.1789423635845,16.6458214299531 49.1789520762003,16.6463062656954 49.1788729482792,16.646441395967 49.1788755913324,16.6466248264328 49.1788912865329,16.6467068961269 49.1788970757448,16.646731325747 49.1789103529723)","_ucelova_polni_lesni cesta"
"LINESTRING (16.7224478051183 49.1657842884416,16.7229967405282 49.1657162933017,16.7238591365823 49.1658047171891,16.7245577949923 49.1659761786678,16.7259603628546 49.1664841424189)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6973579108468 49.1614754750816,16.6977989033939 49.1615321653513,16.698371505665 49.161436903145,16.7001792848737 49.1616197009917,16.7046710524063 49.1620500996946,16.7079315155941 49.1623660681736,16.7099511945237 49.1625814045439)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6681026182807 49.1832894101222,16.6680807039362 49.183175441225,16.6680760458604 49.1831075994287,16.6680917973039 49.1830370598517,16.6681092872281 49.1829879990769,16.6681739181275 49.1828788738893,16.6682519389786 49.1827906692695,16.6683659736317 49.1826943197442,16.6685026065665 49.1825947373447,16.6686350605677 49.1825110504626,16.6696918388725 49.1819198869756,16.6705180307364 49.1814615603484,16.6719873504396 49.1806409419044,16.6725756217194 49.1803100257511,16.6732137664804 49.1799521423052,16.6736308842468 49.1797223295395,16.6739197214253 49.1795651072687,16.6743079045308 49.1793441220145,16.674792489383 49.1790724143451,16.6752938247479 49.1787822748606,16.6758120382868 49.1784729174733,16.6760163913287 49.1783428736669,16.6763727190071 49.1781114298688,16.6766439442096 49.1779357414211,16.6770814768979 49.1776327652435,16.6777103855134 49.1771690210097,16.6783433932085 49.1766838349927,16.6790204125741 49.1761617288646,16.6797935688616 49.1755668843031,16.6807414591289 49.1748387123959,16.6815486632949 49.1742194892267,16.682014777527 49.1738648509082,16.6823029312734 49.1736409252776,16.6826503333972 49.1733746590945,16.6828620236081 49.1732204794498,16.6831128803616 49.1730528873414,16.6835349400427 49.1727253562963,16.6837128080782 49.1725815185183,16.6840776720103 49.1722775256545,16.684360007662 49.172063123699,16.6853095972957 49.1713335852782,16.6859300734105 49.1708697446199,16.6861603170594 49.170687187081,16.6879887297059 49.1692795514816,16.6885845405399 49.1687993957293,16.6893566300707 49.1682306587982,16.6900665425942 49.1676837857788,16.6905390679014 49.1673237419755,16.6917340158779 49.1664092149286,16.6925508602329 49.1657861052305,16.6930376972695 49.1654074506058,16.6933666844337 49.1651592101146,16.6937783977239 49.1648447027524,16.6943152253949 49.1644319263718,16.6951645387935 49.1637827293259,16.6955490423853 49.1634837960998,16.6957727672379 49.1632986471771,16.6960706219321 49.163035499386,16.6963138873795 49.1628048222536,16.6964052904196 49.1627150518816,16.6966045492106 49.1625064593905,16.6967571824749 49.1623335460794,16.6968955799138 49.1621686429809,16.6970485003782 49.161964219427,16.6971915337814 49.1617609571699,16.6972978440636 49.1615945986516,16.6973579108468 49.1614754750816)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6973566386953 49.1614753115419,16.6974793458175 49.1612520156101,16.6975839859183 49.1610463259249,16.6976345194383 49.1609346121536,16.6977173396535 49.1607512387363,16.6977923287059 49.1605712905753,16.6979366398472 49.1601643641013)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6823532522972 49.1578221010167,16.682775159841 49.1579533643807,16.6912224561644 49.1572184190923,16.6913207855858 49.1571869885307,16.6913372802168 49.1571286467698,16.6912388516473 49.1566629074975)","ostatni_pomocne"
"LINESTRING (16.674650203052 49.1628144376389,16.6793684697604 49.1621859591282,16.6795652053185 49.1621261962882,16.6796868693635 49.1620681659954,16.6808178278753 49.1602894934253)","ostatni_pomocne"
"LINESTRING (16.6964941386866 49.1561625027779,16.7157989614243 49.1542156683143,16.717863001192 49.1539952102879,16.7208087235339 49.1534822467776,16.724151544359 49.1527394244951,16.7289168412181 49.1514949575462,16.7296311295919 49.1514156717402)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6706541784101 49.1585886381939,16.6822549435692 49.1575609016771)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6808178278753 49.1602894934253,16.6823532522972 49.1578221010167)","ostatni_pomocne"
"LINESTRING (16.6989384809331 49.1573277639992,16.699021179663 49.1567015849106,16.6989295378577 49.1559181250938)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6989384809331 49.1573277639992,16.6982959100919 49.1591399005472,16.6979342715267 49.1601552066459)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6970442557377 49.1561160175566,16.6973260629785 49.1560982556396,16.6976970177754 49.1561039434915,16.6980172326789 49.1561576689007,16.6983226554389 49.1562728976351,16.6986327357449 49.1564619382352,16.6989653682048 49.1567643882159)","ostatni_pomocne"
"LINESTRING (16.6822549435692 49.1575609016771,16.6911906539047 49.1566659885982,16.6929914684924 49.1564680837168,16.6944665015428 49.1563401663283,16.6955642700819 49.1562451831379,16.6964941386866 49.1561625027779)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6984044769639 49.1638679857519,16.6989798830664 49.1615511002121)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.685407141172 49.1719872671672,16.6831593102198 49.1732981217749,16.6819823047358 49.1723753232541,16.6810106868184 49.1715473824574,16.6804898291345 49.171072764468,16.6797237516123 49.1703005765002,16.6789733659085 49.1693998281121,16.6775154873019 49.1676959395979,16.6769259644661 49.1670130085976)","_stezka_C8_C9_C10"
"LINESTRING (16.685407141172 49.1719872671672,16.6824548323888 49.1697208540094)","_Zona30_pesi_obytna"
"LINESTRING (16.6954838716776 49.1794458047388,16.6959127292554 49.1795050172018,16.696464369369 49.1795473994198,16.6969208720127 49.1795635030458,16.6975081002448 49.1795908875955,16.6980072723066 49.1796030887992,16.6984339140582 49.1795990763095,16.6992996619555 49.1795691337413,16.699695043753 49.1795486182854,16.7047352917288 49.1771676118241,16.7061785741298 49.1781271813571,16.7086636885587 49.1794759676377,16.7108575909017 49.1803020833867,16.7111775304781 49.1803283362062,16.7133309267788 49.1798102890565,16.7143267415875 49.1791520648318,16.7170528366804 49.1801362531988,16.7182954590105 49.1803970716944,16.7192579597457 49.1805270606931,16.7206435982256 49.1803244897427,16.7217644071923 49.1797031972682)","ostatni_pomocne"
