"wkt","typ","delka"
"MULTILINESTRING ((16.6691996328901 49.1821907440516,16.668685761748 49.1824715412897))","piktogramový koridor pro cyklisty - V20","48.76744926540"
"MULTILINESTRING ((16.6738562196515 49.1795982684378,16.6739539199613 49.1795439549037,16.6741592205384 49.1794298238156))","jízdní pruh pro cyklisty - V14","28.96206748770"
"MULTILINESTRING ((16.6563681544231 49.1821005844308,16.6569761930318 49.1819751351762,16.6572945835111 49.1819094439856,16.6576161580348 49.1818435903907,16.6581997416711 49.1817274120459,16.658457046206 49.1816761874028,16.6588462174221 49.1815987092145,16.6589457890887 49.1815788857299,16.6592870458151 49.1815109449728,16.6594584164411 49.1814667929531,16.6595009428513 49.1814594417763,16.6597478622164 49.1813779928124,16.6599328910476 49.1812532245648,16.660015966996 49.1811920336608,16.6602647568431 49.1810187510814,16.6603865798173 49.1809320696403,16.6606206443256 49.1807655230834,16.6611087041253 49.1804182432533,16.6614349364743 49.1801861081622,16.6617990521214 49.1799266119256,16.6619159304112 49.1798426956379,16.6621135286063 49.1797009369824,16.6625685628011 49.1793744871304,16.6631937006039 49.1789207075174,16.663528483082 49.1786862957036,16.6635943125801 49.178640201989,16.6636403229307 49.1786073585577,16.6649588501156 49.1776660558076,16.6652462481337 49.1774623468529,16.6657011465236 49.1771613236877,16.6659872414669 49.1769747343491,16.6663045766563 49.1767677678373,16.6668820696197 49.1763932913133,16.6673751015036 49.1761076550406,16.6686924855081 49.1753627780721))","stezka pro chodce a cyklisty (nedělená) - C9","1194.48386513000"
"MULTILINESTRING ((16.6494660065579 49.1869444017954,16.6506672869457 49.1866999583562,16.6512545354431 49.1865804555973,16.6516269948164 49.1865133752582,16.6517237388187 49.186495950702,16.6521398456093 49.1863986572723,16.6533862152948 49.1861396921253))","jízdní pruh pro cyklisty - V14","299.48050987600"
"MULTILINESTRING ((16.6536868781214 49.1860772190664,16.653444091807 49.1861276662482,16.6533862152948 49.1861396921253,16.6521398456093 49.1863986572723,16.6517237388187 49.186495950702,16.6516269948164 49.1865133752582,16.6514970711065 49.1865367746496,16.6512545354431 49.1865804555973,16.6494660065579 49.1869444017954))","piktogramový koridor pro cyklisty - V20","322.47111079100"
"MULTILINESTRING ((16.6414582790126 49.1853482571925,16.6414432984493 49.1854001377429,16.6414390443838 49.1854276495372,16.6414439353167 49.1854691836639,16.6414540029612 49.1855086953789,16.6419674294619 49.1865856870437,16.6422568423587 49.1871759173561,16.6426060236876 49.1878954499241,16.6427447096912 49.1881877910684))","piktogramový koridor pro cyklisty - V20","330.46033393000"
"MULTILINESTRING ((16.6414432984493 49.1854001377429,16.6414422773632 49.1854036744588,16.6414390381914 49.1854275948328,16.6414390443838 49.1854276495372,16.6414431842486 49.1854628021752,16.6414439353167 49.1854691836639,16.6414540029612 49.1855086953789,16.6414985972712 49.1856022403652,16.6415052245253 49.1856161428823,16.6416117721745 49.1858396466305,16.641718320784 49.1860631502729,16.6418469984673 49.1863330692006,16.6419269117652 49.1865006967911,16.6419674294619 49.1865856870437))","jízda cyklistů v protisměru - E12","137.63947678400"
"MULTILINESTRING ((16.5294039236156 49.1746916922781,16.5292339729946 49.174770483944,16.5291446366335 49.1748119068491,16.5289806849326 49.1748933456691,16.5287989321219 49.1749996531268,16.5280532877236 49.1754580121818,16.5278282431907 49.1755964084325,16.5275794340008 49.1757250520556,16.5273581569497 49.175868149839,16.5270102803581 49.1760921493096))","jízda cyklistů v protisměru - E12","234.23603479200"
"MULTILINESTRING ((16.5395056930986 49.1930312985927,16.539447628562 49.1930528531419,16.5392493654831 49.1931121375343,16.5390313790127 49.193177972485,16.5389284619336 49.1932158469887,16.5387181652019 49.1933184144663,16.5385078675997 49.1934209815586,16.5382990565769 49.1935146086892,16.5380478367714 49.1936142503659,16.5379449180347 49.1936521239891,16.5377287264687 49.1937233280496))","jízda cyklistů v protisměru - E12","151.12746469000"
"MULTILINESTRING ((16.4981987754286 49.2176118005263,16.4979096856816 49.2172964340828,16.4976781493774 49.2170438552531))","jízda cyklistů v protisměru - E12","73.66952490790"
